lat,lon,aqi,uid,pm10,fold
35.7156428,129.3234158,74,12715,36,3
36.1097343,126.9915668,74,13009,24,4
36.730926,127.804682,78,4535,29,3
37.1410264,127.1960051,76,11891,45,4
36.937966,126.43394,40,11334,38,2
36.05249,129.360814,55,13955,41,1
35.3077015,128.7311228,65,12557,46,1
35.9729798,128.9376783,65,11503,36,2
37.473818,126.643199,109,1726,55,3
36.286987,127.237919,63,10475,45,5
35.503138,129.418334,57,1764,29,3
35.544442,129.331878,68,3994,35,5
36.429289,129.056178,50,12978,25,5
36.527029,127.370516,89,11340,50,3
36.66608,127.474924,87,3987,51,2
35.493678,128.754168,65,10452,29,3
35.5241766,126.5508918,-,11365,36,3
36.762488,126.888729,72,10472,24,4
37.652788,125.652904,78,13554,41,4
34.6743623,126.9065322,19,11515,19,5
37.831217,127.509769,34,1692,24,1
37.6683,126.7564,63,11343,49,4
34.885971,127.50903,38,4028,75,1
35.230188,129.120586,61,13515,37,1
36.166203,127.875173,89,12950,21,5
36.6529558,126.6677018,61,11495,37,1
34.1711199,130.9337175,53,2211,19,1
34.857173,128.432385,65,10460,33,3
35.2297487,129.09266,61,3990,30,4
37.545556,126.675833,70,3974,35,2
38.2068718,128.5881299,59,11493,35,2
35.963042,129.376848,74,4009,42,1
35.325306,129.178434,50,3991,31,5
37.246927,127.056315,93,3945,38,5
38.3807542,128.4635415,25,11360,20,3
34.947102,127.518575,61,4029,30,3
35.227745,128.901042,74,13962,36,4
36.3364108,127.3349525,61,11353,43,2
36.974605,126.84554,91,3968,57,4
35.02174,126.790413,14,10455,15,1
35.558304,129.113942,59,3998,39,2
35.303241,126.785419,46,10454,5,2
34.2026624,129.2874904,61,4712,19,1
37.320048,126.948907,82,3964,31,5
38.389557,128.248144,57,13571,32,1
35.62088,129.35796,65,3997,40,3
35.990702,128.418493,95,10458,51,5
36.1214646,128.183796,61,12987,34,3
36.688131,126.739314,53,14017,31,3
35.193333,128.084167,63,1786,29,4
37.6545086,126.7755571,93,4504,62,1
37.488209,130.9040474,46,12560,30,3
34.965927,127.794191,50,13961,14,1
36.15287,126.549494,68,10479,30,1
36.479917,127.292417,-,14002,34,5
35.5452909,128.4883674,82,12559,37,3
35.8714354,128.601445,68,5523,39,4
35.608889,126.852778,53,13970,30,2
36.304667,127.366717,70,1741,30,3
37.459,128.063,30,14888,31,4
37.652924,127.11586,72,11364,39,2
34.6062119,127.2805391,65,11509,35,5
34.8318834,127.899848,57,11504,20,1
36.107179,127.490685,61,10457,30,2
37.7601328,128.9028489,61,1731,25,1
34.892081,127.572745,63,4027,21,2
37.547875,129.110927,65,13524,40,5
36.964567,127.926158,82,1748,33,5
35.1246016667,128.09992247,68,13542,30,4
37.1633559,127.3747489,36,11888,38,3
37.335732,127.976971,34,1734,35,4
35.090811,129.058362,61,13028,32,5
35.127142,129.046701,68,4509,37,3
36.687115,126.832093,74,9550,50,4
35.858226,126.315328,114,13561,45,1
36.928577,127.6886158,80,11498,42,1
35.989987,129.397592,104,14882,53,1
35.688012,126.886775,38,11338,19,4
35.974693,126.58676,109,13558,54,4
36.076309,126.698383,53,10478,36,5
35.55809,129.28116,74,13573,41,3
35.912903,128.813758,53,14006,30,4
36.994135,127.604512,119,9553,52,1
37.201739,127.545135,124,13531,64,4
37.482867,127.035621,82,4497,53,5
37.685514,126.813441,95,1693,69,5
35.233361,129.007694,61,13029,30,3
35.177167,127.175167,61,4518,10,4
37.0334,128.2957,57,1744,27,1
37.7151,126.5526,97,3935,47,4
37.70805,126.28135,87,4542,48,4
36.839225,127.137578,95,4529,45,1
36.7738,127.053851,87,10464,31,2
36.914275,127.059597,91,10473,51,3
37.566535,126.9779692,91,5508,50,3
36.363249,129.389769,59,13528,23,5
37.329538,127.242271,63,11889,38,4
37.49659,126.487769,91,3976,47,2
34.8943055556,127.61225,70,14001,33,3
35.438094,126.71279,68,1799,40,3
36.105052,128.384038,107,4006,42,4
36.608818,127.501293,85,1747,35,4
36.139828,128.113672,82,1779,40,5
37.6837538,127.8800359,55,11488,27,2
35.7268791,128.2823425,-,12563,53,3
34.941868,127.757069,46,4024,18,4
36.229445,127.913258,76,14021,25,3
37.654278,127.029333,80,1676,45,3
37.0485072,129.065288,50,11893,26,2
37.3367,126.7246,91,1705,55,5
38.129569,126.973711,50,13539,38,1
35.0866322,128.8639,70,3989,44,3
35.14583,126.92333,57,1796,26,4
35.243889,128.912222,68,1783,51,2
36.446611,127.11915,74,9545,38,5
35.830472,128.63157,65,1774,30,2
34.804279,126.43457,57,1790,22,1
35.22933,126.86186,59,4035,25,2
37.488242,126.927089,63,1671,33,5
37.7481,127.106,55,13537,32,5
34.978355,127.758004,46,14885,20,3
34.9903577,126.4762299,53,11511,30,4
35.8009943,127.0933305,68,13966,35,1
37.275324,127.113744,74,4505,35,1
37.7919,127.0847,76,10459,42,4
35.2720132,128.408105,46,11506,39,1
35.414968,127.874111,70,12556,23,2
35.6877878,127.9037871,63,11505,39,1
36.9913,127.1126,112,1718,53,4
36.8550153,127.4413124,82,9011,35,1
36.930248,126.806683,147,13521,57,2
36.0190178,129.3434808,59,5525,58,4
37.865638,127.718551,72,12967,44,5
34.84,126.7,34,13243,27,1
36.4834401,127.7168474,74,11496,36,1
35.90103,127.005272,68,13964,47,4
37.6532578,126.6292725,89,12989,51,5
35.859,128.55183,82,14011,49,1
34.6778114,131.851239,38,2392,9,2
35.11497,128.48581,63,14889,29,2
37.291272,127.070818,80,3946,40,1
38.247827,127.79066,38,13570,35,3
37.3442,126.969,61,1715,32,3
36.9973684,129.4027221,53,11502,24,4
35.850801,129.207344,68,1777,31,4
36.3682,127.3185,72,3984,39,3
37.746355,127.047652,70,3965,46,3
35.439481,127.529153,76,13968,48,4
35.973333,126.651417,87,4036,48,5
35.83433,128.541083,102,12986,55,5
36.112801,128.92785,55,4523,26,3
37.723148,126.756434,80,3966,50,1
35.985621,127.047468,97,14004,57,5
36.790498,126.785915,87,14023,38,5
36.9859,126.9314,95,3967,53,2
34.866,128.692182,55,1782,25,5
36.172773,127.777839,68,10476,37,2
37.657822,127.300702,65,11339,30,5
38.0964,127.0763,50,1712,39,4
35.077711,128.784773,78,13514,62,1
35.21815,128.57425,89,4018,46,1
36.904796,127.544593,65,12952,22,1
37.3528063,127.9475408,65,3977,36,5
37.489817,129.123223,70,13523,39,5
37.166203,126.708965,102,13244,51,5
35.728611,127.136111,59,13557,19,1
35.724299,126.734415,144,8501,52,3
37.55561,126.905457,61,1679,37,3
37.1626445,128.9867779,50,11489,33,3
37.3798877,126.8031025,78,5514,35,3
36.006021,129.41491,15,13529,25,4
35.0113888889,127.5811111111,63,13998,26,5
35.345556,129.04,63,1785,40,4
35.560301,129.370866,68,1765,51,2
37.36615,127.22856,61,12994,42,5
37.917603,127.061291,65,1701,34,3
35.515708,129.384518,80,13574,50,3
36.93885,128.32028,74,12954,33,3
37.43005,128.664717,63,4532,35,5
37.371944,127.875,70,14009,35,4
37.2837,127.441,82,1716,50,3
37.132356,126.920186,87,1721,52,1
37.4431,126.7884,78,3951,35,1
38.013429,127.034161,59,13960,31,5
37.518636,130.7970965,61,5376,26,5
34.9337038611,128.09344675,63,13541,27,3
34.7555612,126.1260116,26,11516,29,2
37.125508,128.198426,63,13248,25,3
35.151625,126.853292,72,4516,34,1
36.008716,127.662077,46,11356,22,5
36.746709,126.301512,72,9549,39,5
35.97285,126.700733,61,1800,35,2
37.2778,127.0306,91,4500,35,2
36.526284,127.030853,57,4530,19,2
34.80593,126.391767,61,4026,25,4
37.298663,127.628936,91,1711,50,1
35.180609,128.121781,72,4015,30,4
35.6473136,127.5211775,59,11354,26,1
35.8357126,126.7404835,65,13965,41,5
37.2345,127.2014,33,1714,36,3
36.873396,126.87978,85,10474,33,4
36.98556,126.746821,114,14025,54,4
38.285319,128.390769,57,4533,26,3
34.907364,127.665394,85,13564,37,5
