iso,lat,lon,maize_price
GMB,13.478056,-16.681944,56.64
GMB,13.453056,-16.5775,53.93
GMB,13.433333,-14.65,65.58
GMB,13.316667,-14.216667,35.17
GMB,13.2675,-16.646111,58.2
GMB,13.533333,-14.933333,45.47
GMB,13.482778,-16.545556,59.25
GMB,13.566667,-15.6,42.44
GMB,13.564496,-16.427603,55.75
GMB,13.401216,-13.890973,33.21
GMB,13.181667,-16.758333,59.88
GMB,13.616667,-15.183333,40.78
GMB,13.24,-15.83,44.18
GMB,13.7,-15.316667,29.34
GMB,13.58551979,-15.97072124,45.47
GMB,13.489444,-16.091111,51.61
GMB,13.65,-14.866667,44.37
GMB,13.4,-15.8,41.79
GMB,13.352222,-16.433889,56.49
GMB,13.448611,-16.685278,56.95
GMB,13.540278,-16.321944,42.95
GMB,13.316667,-14.533333,34.29
GMB,13.5,-14.433333,34.73
GMB,13.438333,-16.678056,56.37
GMB,13.208056,-16.196389,53.08
GMB,13.433333,-15.533333,44.02
GMB,13.683333,-14.883333,43.49
GMB,13.633333,-15.033333,39.73
