code,fclass,province,lon,lat
2110,hospital,Seoul,127.0257702,37.5871173
2082,middleschool,Seoul,127.0256687,37.5871922
2082,highschool,Seoul,127.0261543,37.5876471
2082,elementaryschool,Seoul,127.0267044,37.5872948
2082,elementaryschool,Seoul,127.0270064,37.5875769
2082,elementaryschool,Seoul,127.0272777,37.5874029
2082,middleschool,Seoul,127.0270711,37.5871838
2082,highschool,Seoul,127.0271051,37.5871549
2082,school,Seoul,127.0264894,37.5865823
2082,highschool,Seoul,127.02559,37.5865062
2082,elementaryschool,Seoul,127.0256274,37.586707
2082,middleschool,Seoul,127.0256913,37.5867635
2082,elementaryschool,Seoul,127.0255291,37.5868798
2082,middleschool,Seoul,127.0257702,37.5871173
2082,middleschool,Seoul,126.9305127,37.6232918
2082,middleschool,Seoul,126.9310417,37.6235828
2082,highschool,Seoul,126.9315894,37.6236884
2082,elementaryschool,Seoul,126.9323954,37.6232914
2082,elementaryschool,Seoul,126.9325684,37.6233098
2082,highschool,Seoul,126.9329895,37.6232488
2082,elementaryschool,Seoul,126.9330271,37.6231989
2082,elementaryschool,Seoul,126.932898,37.6230716
2082,elementaryschool,Seoul,126.9327073,37.6230132
2501,supermarket,Seoul,126.9324974,37.6228902
2082,elementaryschool,Seoul,126.9321984,37.6227736
2082,school,Seoul,126.9320484,37.6226383
2110,hospital,Seoul,126.9318558,37.6227258
2082,school,Seoul,126.9316632,37.6224981
2082,highschool,Seoul,126.9312745,37.6225873
2082,school,Seoul,126.9304942,37.6232541
2082,middleschool,Seoul,126.9305127,37.6232918
2082,highschool,Seoul,126.9234717,37.6139467
2082,elementaryschool,Seoul,126.92352,37.6140529
2082,school,Seoul,126.9237506,37.6142038
2082,highschool,Seoul,126.9239258,37.6144056
2082,middleschool,Seoul,126.9245266,37.6146164
2082,highschool,Seoul,126.9251102,37.614936
2082,middleschool,Seoul,126.9254278,37.6151603
2501,supermarket,Seoul,126.9258377,37.614807
2082,highschool,Seoul,126.9258337,37.6146717
2082,elementaryschool,Seoul,126.9252785,37.6142072
2082,elementaryschool,Seoul,126.92387,37.6130394
2082,elementaryschool,Seoul,126.9236468,37.6131969
2082,school,Seoul,126.9236402,37.6132076
2082,elementaryschool,Seoul,126.92341,37.6135802
2082,school,Seoul,126.9233856,37.6136641
