siteName,date,pm10,latitude,longitude
aberdeen,2019-10-01,22.3,-32.17718,150.88415
aberdeen,2019-10-02,19.9,-32.17718,150.88415
aberdeen,2019-10-03,26.6,-32.17718,150.88415
aberdeen,2019-10-04,37.8,-32.17718,150.88415
aberdeen,2019-10-05,19.4,-32.17718,150.88415
aberdeen,2019-10-06,21.7,-32.17718,150.88415
aberdeen,2019-10-07,65.2,-32.17718,150.88415
albion park south,2019-10-01,15.7,-34.57781,150.78252
albion park south,2019-10-02,28.8,-34.57781,150.78252
albion park south,2019-10-03,36,-34.57781,150.78252
albion park south,2019-10-04,29.2,-34.57781,150.78252
albion park south,2019-10-05,9.5,-34.57781,150.78252
albion park south,2019-10-06,18.6,-34.57781,150.78252
albion park south,2019-10-07,27,-34.57781,150.78252
albury,2019-10-01,29.5,-36.05182,146.93986
albury,2019-10-02,38.1,-36.05182,146.93986
albury,2019-10-03,30.5,-36.05182,146.93986
albury,2019-10-04,27.9,-36.05182,146.93986
albury,2019-10-05,13.6,-36.05182,146.93986
albury,2019-10-06,26.4,-36.05182,146.93986
albury,2019-10-07,16.6,-36.05182,146.93986
armidale,2019-10-01,1,-30.50851,151.66173
armidale,2019-10-02,1,-30.50851,151.66173
armidale,2019-10-03,1,-30.50851,151.66173
armidale,2019-10-04,1,-30.50851,151.66173
armidale,2019-10-05,1,-30.50851,151.66173
armidale,2019-10-06,1,-30.50851,151.66173
armidale,2019-10-07,1,-30.50851,151.66173
bargo,2019-10-01,12.2,-34.30621,150.58061
bargo,2019-10-02,19.7,-34.30621,150.58061
bargo,2019-10-03,27,-34.30621,150.58061
bargo,2019-10-04,33.1,-34.30621,150.58061
bargo,2019-10-05,9.2,-34.30621,150.58061
bargo,2019-10-06,12.9,-34.30621,150.58061
bargo,2019-10-07,35.4,-34.30621,150.58061
bathurst,2019-10-01,15.1,-33.40178,149.57456
bathurst,2019-10-02,22.8,-33.40178,149.57456
bathurst,2019-10-03,27.5,-33.40178,149.57456
bathurst,2019-10-04,31.8,-33.40178,149.57456
bathurst,2019-10-05,20.1,-33.40178,149.57456
bathurst,2019-10-06,33.8,-33.40178,149.57456
bathurst,2019-10-07,46.5,-33.40178,149.57456
beresfield,2019-10-01,15.9,-32.79677,151.66099
beresfield,2019-10-02,16.6,-32.79677,151.66099
beresfield,2019-10-03,30,-32.79677,151.66099
beresfield,2019-10-04,39.8,-32.79677,151.66099
beresfield,2019-10-05,14,-32.79677,151.66099
beresfield,2019-10-06,11.7,-32.79677,151.66099
beresfield,2019-10-07,32.1,-32.79677,151.66099
bradfield highway,2019-10-01,1,-33.84327,151.21109
bradfield highway,2019-10-02,NA,-33.84327,151.21109
bradfield highway,2019-10-03,NA,-33.84327,151.21109
bradfield highway,2019-10-04,NA,-33.84327,151.21109
bradfield highway,2019-10-05,1,-33.84327,151.21109
bradfield highway,2019-10-06,1,-33.84327,151.21109
bradfield highway,2019-10-07,1,-33.84327,151.21109
bringelly,2019-10-01,15.8,-33.91766,150.76192
bringelly,2019-10-02,20.1,-33.91766,150.76192
bringelly,2019-10-03,28.5,-33.91766,150.76192
bringelly,2019-10-04,36.9,-33.91766,150.76192
bringelly,2019-10-05,14.8,-33.91766,150.76192
bringelly,2019-10-06,16.3,-33.91766,150.76192
bringelly,2019-10-07,24.3,-33.91766,150.76192
bulga,2019-10-01,17.4,-32.64864,151.03598
bulga,2019-10-02,22.6,-32.64864,151.03598
bulga,2019-10-03,35.1,-32.64864,151.03598
bulga,2019-10-04,32.4,-32.64864,151.03598
bulga,2019-10-05,19.5,-32.64864,151.03598
bulga,2019-10-06,22.7,-32.64864,151.03598
bulga,2019-10-07,50.5,-32.64864,151.03598
camberwell,2019-10-01,16.6,-32.47231,151.09188
camberwell,2019-10-02,31.8,-32.47231,151.09188
camberwell,2019-10-03,52,-32.47231,151.09188
camberwell,2019-10-04,68,-32.47231,151.09188
camberwell,2019-10-05,16.7,-32.47231,151.09188
camberwell,2019-10-06,25.8,-32.47231,151.09188
camberwell,2019-10-07,61.5,-32.47231,151.09188
camden,2019-10-01,1,-34.04168,150.69013
camden,2019-10-02,1,-34.04168,150.69013
camden,2019-10-03,1,-34.04168,150.69013
camden,2019-10-04,1,-34.04168,150.69013
camden,2019-10-05,1,-34.04168,150.69013
camden,2019-10-06,1,-34.04168,150.69013
camden,2019-10-07,1,-34.04168,150.69013
campbelltown west,2019-10-01,15.8,-34.06666,150.79558
campbelltown west,2019-10-02,21.3,-34.06666,150.79558
campbelltown west,2019-10-03,29,-34.06666,150.79558
campbelltown west,2019-10-04,33.2,-34.06666,150.79558
campbelltown west,2019-10-05,11.1,-34.06666,150.79558
campbelltown west,2019-10-06,14.8,-34.06666,150.79558
campbelltown west,2019-10-07,26.6,-34.06666,150.79558
carrington,2019-10-01,1,-32.90964,151.76335
carrington,2019-10-02,1,-32.90964,151.76335
carrington,2019-10-03,1,-32.90964,151.76335
carrington,2019-10-04,1,-32.90964,151.76335
carrington,2019-10-05,1,-32.90964,151.76335
carrington,2019-10-06,1,-32.90964,151.76335
carrington,2019-10-07,1,-32.90964,151.76335
chullora,2019-10-01,16,-33.89156,151.0461
chullora,2019-10-02,23.7,-33.89156,151.0461
chullora,2019-10-03,28.7,-33.89156,151.0461
chullora,2019-10-04,34.3,-33.89156,151.0461
chullora,2019-10-05,11.7,-33.89156,151.0461
chullora,2019-10-06,14.9,-33.89156,151.0461
chullora,2019-10-07,28.7,-33.89156,151.0461
coffs harbour,2019-10-01,NA,-30.29833,153.11806
coffs harbour,2019-10-02,NA,-30.29833,153.11806
coffs harbour,2019-10-03,NA,-30.29833,153.11806
coffs harbour,2019-10-04,NA,-30.29833,153.11806
coffs harbour,2019-10-05,NA,-30.29833,153.11806
coffs harbour,2019-10-06,NA,-30.29833,153.11806
coffs harbour,2019-10-07,NA,-30.29833,153.11806
cook and phillip,2019-10-01,1,-33.87288,151.21323
cook and phillip,2019-10-02,1,-33.87288,151.21323
cook and phillip,2019-10-03,1,-33.87288,151.21323
cook and phillip,2019-10-04,1,-33.87288,151.21323
cook and phillip,2019-10-05,1,-33.87288,151.21323
cook and phillip,2019-10-06,NA,-33.87288,151.21323
cook and phillip,2019-10-07,NA,-33.87288,151.21323
earlwood,2019-10-01,13.8,-33.91619,151.13577
earlwood,2019-10-02,22.1,-33.91619,151.13577
earlwood,2019-10-03,29.4,-33.91619,151.13577
earlwood,2019-10-04,32.3,-33.91619,151.13577
