station,x,y
Jipyeong,127.6290656,37.47681
Guksu,127.3993318,37.5161724
Yangpyeong,127.4918972,37.4928474
Gongneung,127.0730437,37.6256358
Namgwangju,126.9227716,35.1394416
Airport,126.8117129,35.144104
Kimdaejung Convention Center,126.841324,35.1431981
Nongseong,126.8840429,35.1532154
Geumnamro 5-ga,126.9100714,35.1537076
Geumnamno 4(sa)-ga,126.9145807,35.1507055
Sotae,126.9322262,35.1236091
Nokdong,126.9339897,35.1068236
Dong-gu Office,128.6322347,35.884396
Dongdaegu,128.627468,35.8774172
Buk-gu Office,128.581437,35.883813
Pyeongchang,128.4300343,37.5619574
Gangneung,128.8993979,37.76452
Jinbu(Odaesan),128.5748224,37.6425685
Myeongdong,126.9863762,37.5608977
Seowonju,127.8393953,37.3485297
Gosari,129.0615255,37.2669738
Bonghwa,128.7268956,36.8914813
Chunyang,128.9198754,36.9378718
Yangwon,129.0913934,36.9638281
Mundan,128.6825305,36.8634051
Dongbaeksan,129.0345384,37.1549137
Sinmokdong,126.8831758,37.544211
Aeogae,126.9566976,37.553428
Sasang,128.989003,35.1624853
Mulgeum,128.9853853,35.3066353
Gupo,128.9973006,35.2053084
Suyu,127.0257229,37.6379932
Chilgok Kyungpook Nat'l Univ. Medical Center,128.559879,35.9583838
Suseongmot,128.623188,35.831413
Suseong District Stadium,128.6251521,35.852365
Namsan,128.5833231,35.8567438
Hakjeong,128.5591764,35.9515422
Palgeo,128.5583357,35.9440326
Dongcheon,128.5566571,35.9376827
Guam,128.5503144,35.9256982
Taejeon,128.547392,35.9196722
Maecheon,128.5434558,35.9126737
Maecheon Market,128.5456935,35.904335
Paldal,128.5466972,35.897872
Gongdan,128.5536252,35.8919819
Manpyeong,128.5610405,35.8898546
Dalseong Park,128.582094,35.8756768
Seomun Market,128.5822849,35.8696706
Namsan,128.5834129,35.8566947
Myeongdeok,128.5899443,35.8569733
Daebonggyo,128.6062535,35.8550288
Suseong District Stadium,128.625173,35.852363
Munyang,128.4371644,35.8643039
Yeonho,128.6719445,35.8464924
Seongseo Industrial Complex,128.5070241,35.8516848
Beommul,128.6401269,35.8208664
Yongji,128.646413,35.818232
Miryang,128.7714177,35.4748507
Samrangjin,128.8438715,35.3990296
Namseonghyeon,128.7162166,35.7048337
Cheongdo,128.7461654,35.6398546
Sangdong,128.7604039,35.5557169
Sangmu,126.848655,35.1467308
Waegwan,128.4004803,35.9920486
Sindong,128.4861116,35.9554422
Yangmok,128.3643256,36.0375533
Muan,126.5175783,34.9627975
Dasi,126.6411305,35.0164504
Mongtan,126.5037002,34.9298291
Illo,126.4772587,34.8487082
Baekyangsa,126.80776,35.4317191
Hoengseong,128.0104835,37.4828074
Hamyeol,126.9565697,36.0801666
Sintaein,126.8841325,35.6877264
Yeonsan,127.2009309,36.2119554
Yeonmudae,127.087901,36.1242869
Nonsan,127.0928492,36.2069077
Deokyang,127.6274319,34.8121232
Samgakji,126.9738885,37.535478
Geumho,127.0159247,37.5479735
Gimcheon,128.115032,36.1238437
Chupungnyeong,127.9963927,36.2128103
Euljiro 3(sam)-ga,126.9925305,37.5663363
Noksapyeong,126.9865773,37.53492
National Assembly,126.9169794,37.5289733
Danggok,126.9279108,37.4896958
City Hall,126.9747869,37.5633295
Sinjeong,126.8559699,37.5250413
Daerim,126.8955417,37.4924623
Singil,126.9163515,37.5175077
Ilgwang,129.2332968,35.268279
Sangwangsimni,127.0292513,37.564391
Geungnakgang,126.8309058,35.1762466
Jinhae,128.661638,35.1528966
Masan,128.576728,35.2363635
Pusan Nat'l Univ. Yangsan Campus station,129.0139405,35.3169214
Hopo,129.0174394,35.2811219
Nopo,129.0951147,35.2839721
Bonghwang,128.8742798,35.227204
Cheyuk Park,128.9693797,35.2124735
Gupo,128.996352,35.2066938
Daejeo,128.9604713,35.2130537
Deunggu,128.9634997,35.1961591
Anjirang,128.5738617,35.8391727
Bangogae,128.573531,35.862462
Damti,128.6542325,35.8547073
National University of Education,128.5906054,35.8509515
