EA_CODE,month,NDVI
10507801,1,3950.15283203125
10507801,2,6635.24365234375
10507801,3,6629.16455078125
10507801,4,6211.91552734375
10507801,5,5027.875
10507801,6,3952.52197265625
10507801,7,3443.211181640625
10507801,8,2955.746337890625
10507801,9,2611.343994140625
10507801,10,2613.107177734375
10507801,11,2546.20947265625
10507801,12,3012.701416015625
10507072,1,4812.18505859375
10507072,2,7246.10302734375
10507072,3,7090.359375
10507072,4,6209.51123046875
10507072,5,5708.60400390625
10507072,6,4522.5517578125
10507072,7,3965.952392578125
10507072,8,3278.55712890625
10507072,9,2714.267333984375
10507072,10,2758.498291015625
10507072,11,2786.35888671875
10507072,12,2408.503173828125
10507010,1,4327.8115234375
10507010,2,6140.470703125
10507010,3,6315.79296875
10507010,4,6134.43408203125
10507010,5,4481.20947265625
10507010,6,3909.26513671875
10507010,7,3519.701416015625
10507010,8,3066.7822265625
10507010,9,2735.371826171875
10507010,10,2725.394287109375
10507010,11,2578.86669921875
10507010,12,2769.78369140625
10507001,1,5716.3173828125
10507001,2,7187.12353515625
10507001,3,7032.2822265625
10507001,4,6976.13232421875
10507001,5,6408.8046875
10507001,6,5312.4990234375
10507001,7,4691.67578125
10507001,8,3989.13818359375
10507001,9,3672.84423828125
10507001,10,3690.690673828125
10507001,11,3606.40869140625
10507001,12,3199.759521484375
10507009,1,4951.7734375
10507009,2,6510.2490234375
10507009,3,6674.34326171875
10507009,4,6728.19287109375
10507009,5,5406.63330078125
10507009,6,4653.384765625
10507009,7,4141.29150390625
10507009,8,3531.523681640625
10507009,9,3107.23779296875
10507009,10,3318.981689453125
10507009,11,3112.1650390625
10507009,12,3176.027587890625
10507033,1,4291.00341796875
10507033,2,6216.0634765625
10507033,3,6299.3876953125
10507033,4,6381.90283203125
10507033,5,4868.39453125
10507033,6,4280.16162109375
10507033,7,3811.52978515625
10507033,8,3442.85888671875
10507033,9,2856.332275390625
10507033,10,3037.776611328125
10507033,11,2901.6630859375
10507033,12,3178.781494140625
10507032,1,5049.27685546875
