GEO_ID,NAME,pop,popblack,pophispanic,poor,poorblack,poorhispanic
06001400100,"Census Tract 4001, Alameda County, California",3014,82,125,134,11,68
06001400200,"Census Tract 4002, Alameda County, California",1967,44,163,115,9,38
06001400300,"Census Tract 4003, Alameda County, California",5019,433,455,258,87,40
06001400400,"Census Tract 4004, Alameda County, California",4167,298,473,393,84,169
06001400500,"Census Tract 4005, Alameda County, California",4021,1109,359,393,118,30
06001400600,"Census Tract 4006, Alameda County, California",1803,511,126,177,53,29
06001400700,"Census Tract 4007, Alameda County, California",5148,1486,737,561,331,33
06001400800,"Census Tract 4008, Alameda County, California",4001,857,180,394,192,15
06001400900,"Census Tract 4009, Alameda County, California",2853,846,531,252,61,99
06001401000,"Census Tract 4010, Alameda County, California",6052,1663,902,500,267,39
06001401100,"Census Tract 4011, Alameda County, California",4269,450,334,557,82,106
06001401200,"Census Tract 4012, Alameda County, California",2641,310,246,309,103,48
06001401300,"Census Tract 4013, Alameda County, California",3541,742,333,630,210,44
06001401400,"Census Tract 4014, Alameda County, California",4886,1518,973,1550,758,328
06001401500,"Census Tract 4015, Alameda County, California",2816,1228,401,508,317,94
06001401600,"Census Tract 4016, Alameda County, California",2223,722,779,426,48,193
06001401700,"Census Tract 4017, Alameda County, California",3199,563,695,522,167,127
06001401800,"Census Tract 4018, Alameda County, California",1730,633,400,193,86,4
06001402200,"Census Tract 4022, Alameda County, California",2340,774,383,501,260,9
06001402400,"Census Tract 4024, Alameda County, California",2390,1332,127,451,238,24
06001402500,"Census Tract 4025, Alameda County, California",1904,1165,293,569,398,158
06001402600,"Census Tract 4026, Alameda County, California",1255,324,182,296,47,65
06001402700,"Census Tract 4027, Alameda County, California",1909,671,360,393,143,87
06001402801,"Census Tract 4028.01, Alameda County, California",3321,1225,259,455,183,23
06001402802,"Census Tract 4028.02, Alameda County, California",1337,585,122,757,378,75
06001402900,"Census Tract 4029, Alameda County, California",1393,202,127,352,42,29
06001403000,"Census Tract 4030, Alameda County, California",2850,110,54,882,15,28
06001403100,"Census Tract 4031, Alameda County, California",1782,308,204,281,34,8
06001403301,"Census Tract 4033.01, Alameda County, California",1615,18,72,884,0,0
06001403302,"Census Tract 4033.02, Alameda County, California",2389,111,238,149,0,51
06001403401,"Census Tract 4034.01, Alameda County, California",2918,595,217,660,354,17
06001403402,"Census Tract 4034.02, Alameda County, California",1405,373,190,0,0,0
06001403501,"Census Tract 4035.01, Alameda County, California",4454,1108,271,629,198,64
06001403502,"Census Tract 4035.02, Alameda County, California",1902,384,331,175,10,41
06001403600,"Census Tract 4036, Alameda County, California",5473,2045,940,709,281,118
06001403701,"Census Tract 4037.01, Alameda County, California",2741,575,286,355,139,30
06001403702,"Census Tract 4037.02, Alameda County, California",1856,305,208,166,44,10
06001403800,"Census Tract 4038, Alameda County, California",3514,562,128,129,0,7
06001403900,"Census Tract 4039, Alameda County, California",4122,404,451,284,111,18
06001404000,"Census Tract 4040, Alameda County, California",2910,314,428,291,44,34
06001404101,"Census Tract 4041.01, Alameda County, California",2988,223,203,150,34,10
06001404102,"Census Tract 4041.02, Alameda County, California",2509,134,259,230,11,0
06001404200,"Census Tract 4042, Alameda County, California",3629,286,159,180,0,8
06001404300,"Census Tract 4043, Alameda County, California",3546,58,353,157,11,12
06001404400,"Census Tract 4044, Alameda County, California",5755,119,114,192,0,0
06001404501,"Census Tract 4045.01, Alameda County, California",1790,75,108,34,0,14
06001404502,"Census Tract 4045.02, Alameda County, California",5893,236,416,73,20,5
06001404600,"Census Tract 4046, Alameda County, California",4936,266,196,167,0,9
06001404700,"Census Tract 4047, Alameda County, California",2099,100,162,34,0,0
06001404800,"Census Tract 4048, Alameda County, California",2650,304,378,116,7,20
06001404900,"Census Tract 4049, Alameda County, California",4253,350,623,126,19,8
06001405000,"Census Tract 4050, Alameda County, California",3429,463,350,121,15,28
06001405100,"Census Tract 4051, Alameda County, California",4285,520,154,174,31,31
06001405200,"Census Tract 4052, Alameda County, California",5159,480,703,315,72,2
06001405301,"Census Tract 4053.01, Alameda County, California",2920,406,445,394,14,91
06001405302,"Census Tract 4053.02, Alameda County, California",2287,361,136,269,91,60
06001405401,"Census Tract 4054.01, Alameda County, California",3646,560,795,474,98,70
06001405402,"Census Tract 4054.02, Alameda County, California",3334,641,818,471,55,16
06001405500,"Census Tract 4055, Alameda County, California",3666,866,525,594,63,93
06001405600,"Census Tract 4056, Alameda County, California",3171,587,643,300,61,98
06001405700,"Census Tract 4057, Alameda County, California",3308,1077,320,546,173,81
06001405800,"Census Tract 4058, Alameda County, California",3931,588,802,803,64,75
06001405901,"Census Tract 4059.01, Alameda County, California",4230,552,1955,1000,295,448
06001405902,"Census Tract 4059.02, Alameda County, California",3101,322,658,623,146,78
