"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2020","AQS","130210007","1","9.9","ug/m3 LC","52","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"01/04/2020","AQS","130210007","1","4.4","ug/m3 LC","24","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"01/07/2020","AQS","130210007","1","6.8","ug/m3 LC","38","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"01/10/2020","AQS","130210007","1","8.6","ug/m3 LC","48","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"01/13/2020","AQS","130210007","1","6.7","ug/m3 LC","37","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"01/16/2020","AQS","130210007","1","4.8","ug/m3 LC","27","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"01/19/2020","AQS","130210007","1","2.9","ug/m3 LC","16","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"01/22/2020","AQS","130210007","1","7","ug/m3 LC","39","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"01/25/2020","AQS","130210007","1","4.3","ug/m3 LC","24","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"01/28/2020","AQS","130210007","1","5.8","ug/m3 LC","32","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"01/31/2020","AQS","130210007","1","5.3","ug/m3 LC","29","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"02/03/2020","AQS","130210007","1","8.8","ug/m3 LC","49","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"02/06/2020","AQS","130210007","1","5.4","ug/m3 LC","30","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"02/09/2020","AQS","130210007","1","5","ug/m3 LC","28","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"02/12/2020","AQS","130210007","1","6","ug/m3 LC","33","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"02/15/2020","AQS","130210007","1","4.6","ug/m3 LC","26","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"02/18/2020","AQS","130210007","1","5.8","ug/m3 LC","32","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"02/21/2020","AQS","130210007","1","4.8","ug/m3 LC","27","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"02/24/2020","AQS","130210007","1","10.2","ug/m3 LC","53","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"02/27/2020","AQS","130210007","1","3.9","ug/m3 LC","22","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"03/01/2020","AQS","130210007","1","11.6","ug/m3 LC","56","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"03/04/2020","AQS","130210007","1","5.5","ug/m3 LC","31","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"03/07/2020","AQS","130210007","1","3.3","ug/m3 LC","18","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"03/10/2020","AQS","130210007","1","7.8","ug/m3 LC","43","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"03/13/2020","AQS","130210007","1","9.2","ug/m3 LC","51","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"03/16/2020","AQS","130210007","1","13.3","ug/m3 LC","59","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"03/19/2020","AQS","130210007","1","16.6","ug/m3 LC","65","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"03/22/2020","AQS","130210007","1","6.7","ug/m3 LC","37","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
