GEO_ID,NAME,poptotal,popblack,pophispanic,poortotal,poorblack,poorhispanic
1400000US13001950100,"Census Tract 9501, Appling County, Georgia",3246,147,258,746,0,0
1400000US13001950201,"Census Tract 9502.01, Appling County, Georgia",2276,637,269,306,105,0
1400000US13001950202,"Census Tract 9502.02, Appling County, Georgia",2221,1133,13,500,248,0
1400000US13001950301,"Census Tract 9503.01, Appling County, Georgia",2883,255,937,565,23,462
1400000US13001950302,"Census Tract 9503.02, Appling County, Georgia",1729,241,0,564,92,0
1400000US13001950400,"Census Tract 9504, Appling County, Georgia",1892,361,74,337,64,26
1400000US13001950500,"Census Tract 9505, Appling County, Georgia",3744,662,268,1196,481,119
1400000US13003960100,"Census Tract 9601, Atkinson County, Georgia",2342,308,714,415,107,152
1400000US13003960200,"Census Tract 9602, Atkinson County, Georgia",4469,963,1182,1425,487,502
1400000US13003960300,"Census Tract 9603, Atkinson County, Georgia",1463,18,261,491,0,205
1400000US13005970100,"Census Tract 9701, Bacon County, Georgia",2869,20,308,595,20,55
1400000US13005970201,"Census Tract 9702.01, Bacon County, Georgia",4073,898,99,1171,534,0
1400000US13005970202,"Census Tract 9702.02, Bacon County, Georgia",3395,492,508,933,40,330
1400000US13007960100,"Census Tract 9601, Baker County, Georgia",2017,860,88,511,265,8
1400000US13007960200,"Census Tract 9602, Baker County, Georgia",1073,321,53,126,18,0
1400000US13009970101,"Census Tract 9701.01, Baldwin County, Georgia",2296,1080,0,25,0,0
1400000US13009970102,"Census Tract 9701.02, Baldwin County, Georgia",2987,1046,0,410,333,0
1400000US13009970201,"Census Tract 9702.01, Baldwin County, Georgia",3686,1688,7,1214,645,0
1400000US13009970202,"Census Tract 9702.02, Baldwin County, Georgia",3404,872,105,508,291,62
1400000US13009970301,"Census Tract 9703.01, Baldwin County, Georgia",2276,639,0,192,35,0
1400000US13009970302,"Census Tract 9703.02, Baldwin County, Georgia",3444,1372,61,182,49,0
1400000US13009970400,"Census Tract 9704, Baldwin County, Georgia",4345,2262,82,1043,312,67
1400000US13009970501,"Census Tract 9705.01, Baldwin County, Georgia",2887,889,74,2335,758,50
1400000US13009970502,"Census Tract 9705.02, Baldwin County, Georgia",2021,1149,0,142,60,0
1400000US13009970600,"Census Tract 9706, Baldwin County, Georgia",3069,1798,8,814,530,8
1400000US13009970701,"Census Tract 9707.01, Baldwin County, Georgia",1702,963,185,567,388,0
1400000US13009970702,"Census Tract 9707.02, Baldwin County, Georgia",2045,1449,93,655,414,41
1400000US13009970801,"Census Tract 9708.01, Baldwin County, Georgia",3300,885,111,221,61,41
1400000US13009970802,"Census Tract 9708.02, Baldwin County, Georgia",3338,1381,176,1370,1008,40
1400000US13011970100,"Census Tract 9701, Banks County, Georgia",5334,0,972,873,0,62
1400000US13011970200,"Census Tract 9702, Banks County, Georgia",4840,96,7,565,20,0
1400000US13011970300,"Census Tract 9703, Banks County, Georgia",4920,246,265,446,19,0
1400000US13011970400,"Census Tract 9704, Banks County, Georgia",3792,66,81,676,0,0
1400000US13013180103,"Census Tract 1801.03, Barrow County, Georgia",5803,610,545,714,107,87
1400000US13013180104,"Census Tract 1801.04, Barrow County, Georgia",2252,217,278,325,6,166
1400000US13013180105,"Census Tract 1801.05, Barrow County, Georgia",3031,88,520,225,0,0
1400000US13013180106,"Census Tract 1801.06, Barrow County, Georgia",2497,308,207,195,0,36
1400000US13013180107,"Census Tract 1801.07, Barrow County, Georgia",4336,36,751,272,0,1
1400000US13013180108,"Census Tract 1801.08, Barrow County, Georgia",2872,168,96,193,19,0
1400000US13013180203,"Census Tract 1802.03, Barrow County, Georgia",3641,1086,797,695,247,114
1400000US13013180204,"Census Tract 1802.04, Barrow County, Georgia",3050,902,618,480,81,116
1400000US13013180205,"Census Tract 1802.05, Barrow County, Georgia",4708,813,540,956,232,139
1400000US13013180206,"Census Tract 1802.06, Barrow County, Georgia",3298,227,169,321,0,32
1400000US13013180301,"Census Tract 1803.01, Barrow County, Georgia",3090,212,145,271,41,10
1400000US13013180302,"Census Tract 1803.02, Barrow County, Georgia",5579,551,489,799,46,102
1400000US13013180303,"Census Tract 1803.03, Barrow County, Georgia",5754,116,322,420,8,173
1400000US13013180401,"Census Tract 1804.01, Barrow County, Georgia",5778,501,499,318,160,0
1400000US13013180402,"Census Tract 1804.02, Barrow County, Georgia",6754,1028,1127,881,274,85
1400000US13013180501,"Census Tract 1805.01, Barrow County, Georgia",7941,968,867,258,150,25
1400000US13013180502,"Census Tract 1805.02, Barrow County, Georgia",4878,834,776,751,387,21
1400000US13013180503,"Census Tract 1805.03, Barrow County, Georgia",5635,1043,584,989,203,268
1400000US13015960101,"Census Tract 9601.01, Bartow County, Georgia",1636,24,37,127,0,0
1400000US13015960103,"Census Tract 9601.03, Bartow County, Georgia",3596,74,17,10,0,0
1400000US13015960104,"Census Tract 9601.04, Bartow County, Georgia",2890,0,221,322,0,0
1400000US13015960105,"Census Tract 9601.05, Bartow County, Georgia",3647,0,66,367,0,0
1400000US13015960201,"Census Tract 9602.01, Bartow County, Georgia",3104,315,0,44,0,0
1400000US13015960202,"Census Tract 9602.02, Bartow County, Georgia",3869,423,189,275,2,56
1400000US13015960203,"Census Tract 9602.03, Bartow County, Georgia",4145,124,117,674,0,0
1400000US13015960301,"Census Tract 9603.01, Bartow County, Georgia",3558,80,213,128,11,0
1400000US13015960302,"Census Tract 9603.02, Bartow County, Georgia",3138,207,240,546,90,177
1400000US13015960403,"Census Tract 9604.03, Bartow County, Georgia",4433,1110,831,648,289,0
1400000US13015960404,"Census Tract 9604.04, Bartow County, Georgia",5420,601,1166,1101,36,577
1400000US13015960405,"Census Tract 9604.05, Bartow County, Georgia",4112,953,62,394,93,62
1400000US13015960406,"Census Tract 9604.06, Bartow County, Georgia",2639,419,350,15,0,0
1400000US13015960407,"Census Tract 9604.07, Bartow County, Georgia",2547,131,12,240,46,3
1400000US13015960501,"Census Tract 9605.01, Bartow County, Georgia",5880,1248,619,994,230,93
1400000US13015960502,"Census Tract 9605.02, Bartow County, Georgia",2585,124,270,278,0,0
1400000US13015960601,"Census Tract 9606.01, Bartow County, Georgia",5043,427,288,602,199,0
1400000US13015960602,"Census Tract 9606.02, Bartow County, Georgia",3229,833,635,704,279,0
1400000US13015960701,"Census Tract 9607.01, Bartow County, Georgia",4572,1116,1600,1432,236,644
1400000US13015960702,"Census Tract 9607.02, Bartow County, Georgia",2751,278,190,89,0,0
1400000US13015960801,"Census Tract 9608.01, Bartow County, Georgia",4306,518,483,980,0,219
1400000US13015960802,"Census Tract 9608.02, Bartow County, Georgia",3232,95,578,856,2,86
1400000US13015960804,"Census Tract 9608.04, Bartow County, Georgia",3475,45,211,363,13,69
1400000US13015960805,"Census Tract 9608.05, Bartow County, Georgia",1912,93,11,419,7,8
1400000US13015960901,"Census Tract 9609.01, Bartow County, Georgia",2826,125,143,232,39,2
1400000US13015960902,"Census Tract 9609.02, Bartow County, Georgia",7539,498,417,736,38,0
1400000US13015961001,"Census Tract 9610.01, Bartow County, Georgia",5673,385,56,299,184,0
1400000US13015961002,"Census Tract 9610.02, Bartow County, Georgia",3272,0,367,330,0,13
1400000US13017960100,"Census Tract 9601, Ben Hill County, Georgia",2813,496,110,647,226,67
1400000US13017960200,"Census Tract 9602, Ben Hill County, Georgia",1482,263,14,324,135,0
1400000US13017960300,"Census Tract 9603, Ben Hill County, Georgia",3218,883,277,774,442,42
1400000US13017960400,"Census Tract 9604, Ben Hill County, Georgia",3996,2242,597,1461,993,240
1400000US13017960501,"Census Tract 9605.01, Ben Hill County, Georgia",869,516,27,305,155,0
1400000US13017960502,"Census Tract 9605.02, Ben Hill County, Georgia",4132,1656,24,1297,726,0
1400000US13019970100,"Census Tract 9701, Berrien County, Georgia",1587,327,58,345,101,0
